run_number,arrivals,mean_wait_time,mean_time_with_doctor,mean_utilisation_tw,mean_queue_length,mean_time_in_system,mean_patients_in_system,unseen_count,unseen_wait_time,scenario,interarrival_time
0,5176,18.43035861982928,9.853631344843015,0.8437191162667594,4.73192143929743,28.28510533854993,7.263078788097719,0,,0,4.0
1,5077,13.655535616455882,10.057051461831671,0.8437472314003434,3.4390012792541294,23.702126969536504,5.970242973455192,4,12.656712026488094,0,4.0
2,5144,20.839376465142653,10.02616387373688,0.8527544141286788,5.317348836145531,30.86554033887952,7.87561207853154,0,,0,4.0
3,4983,11.927174080436435,9.905927068679846,0.8187959282399113,2.9824562044803797,21.822719188536286,5.438843989200125,4,16.42823697348831,0,4.0
4,4965,11.272876198790255,9.97002736980012,0.8178796040885863,2.775703362148334,21.244491072739937,5.229342174414108,2,5.447603157161211,0,4.0
5,5055,11.99883026977314,9.976158885189049,0.8342819077254945,3.0126895655436323,21.975771242074458,5.515535288720102,0,,0,4.0
6,5103,19.628380014810215,10.163423145840538,0.8574418465532626,4.968433691248841,29.794635581911947,7.540759230908649,0,,0,4.0
7,4970,14.50508275623946,10.093432432559721,0.8294986884934693,3.5759969393886104,24.601019209213362,6.064493004869013,0,,0,4.0
8,4973,10.352237838909113,10.062244790050539,0.8254576209076889,2.553108236260746,20.400099136697076,5.029481098983833,6,8.516116192515861,0,4.0
9,4955,12.769865701134659,10.194966170385175,0.836081480925738,3.1395192797679363,22.968615832103918,5.64776372254517,1,0.03066770419536624,0,4.0
10,5094,19.748195142345864,10.232879540811792,0.8615586701072953,4.9890714072374545,29.982577911627242,7.573747417559324,1,2.1217099395071273,0,4.0
11,5021,13.496419537412297,9.896360022244565,0.8201760221677995,3.376196075600145,23.360275337546863,5.83672414210356,13,35.54499242282607,0,4.0
12,5128,12.926467188648964,9.909320603191242,0.8395175275011404,3.28745491331522,22.831919637798446,5.806007495818663,1,0.6200959525012877,0,4.0
13,5006,12.949332991600382,10.058402732930453,0.8295036719662748,3.2259723432973946,22.98732444129634,5.714483359196217,22,21.72729746938785,0,4.0
14,5120,20.96496803519636,10.04620968582138,0.8500312443872329,5.324646633206926,30.992703691649627,7.8747403663686555,4,21.750742483200156,0,4.0
0,4553,7.696752229089913,9.853974236429082,0.7419742995338053,1.7382595684050781,17.552756165210752,3.964182467006502,0,,1,4.5
1,4513,8.305766032503115,10.062743750454358,0.751713319861073,1.8595740006429058,18.368509782957435,4.114713960226131,0,,1,4.5
2,4550,10.886272450125249,10.118625168013274,0.7597029855486784,2.460450648094181,20.980017742667776,4.739559604740204,7,20.728566025916994,1,4.5
3,4453,8.279631471409855,9.921019372547873,0.732381244466414,1.833307066246747,18.20548688946802,4.030450799645986,0,,1,4.5
4,4435,6.2388401901452895,10.079025508910025,0.7379325490715958,1.3733891709280595,16.303352189546306,3.5871868181428477,6,9.283747292698536,1,4.5
5,4513,7.052026613180881,9.950749779909312,0.7436485658666351,1.5809707445085863,17.002776393090212,3.811916442108488,0,,1,4.5
6,4537,9.73711942468809,10.186289779014572,0.7643380571289177,2.191334862589778,19.919654050291285,4.484349033976529,0,,1,4.5
7,4358,7.4184384628999,10.075835835895283,0.7256162309494203,1.6030953426339745,17.49356211701211,3.77994403548223,2,1.8420815544814104,1,4.5
8,4404,5.861057661045144,10.066137570995773,0.7325410774258946,1.2808272949143011,15.920019094878832,3.4784505271919746,3,8.987833070876755,1,4.5
9,4359,7.153966365937104,10.16380732886569,0.7322564451698553,1.5466176927447326,17.31742990887089,3.7433870282542974,1,2.8272629799103015,1,4.5
10,4538,8.263566558567321,10.166524201882329,0.7629290758546843,1.8600410695101426,18.42715892701649,4.148828297074184,1,6.626485104534368,1,4.5
11,4432,6.512316043204308,9.83079495333281,0.720484010243672,1.431675828545709,16.34316852970006,3.593127859276726,0,,1,4.5
