"","replication","arrivals","mean_wait_time_doctor","mean_time_with_doctor","utilisation_doctor","mean_queue_length_doctor","mean_time_in_system","mean_patients_in_system","scenario","interarrival_time","number_of_doctors"
"1",1,8,0,10.6267667316376,0.453748583128369,0,5.90944596317287,1.49151950907758,1,4,3
"2",2,14,1.34897148508552,16.4744748343497,0.82894677564872,1.06476130654496,6.52989451108563,3.59273614795666,1,4,3
"3",3,8,3.31855677081878,12.5769860036883,0.919187551358775,0.661998702923213,14.2933690818609,2.4039172131353,1,4,3
"4",4,9,7.07898029834312,8.22909604550025,1,1.70134149294259,14.8100406814272,3.24992877698293,1,4,3
"5",5,11,11.8431216686646,8.86691573656945,1,2.76775526590291,16.0070730075349,4.00626164487021,1,4,3
"6",1,9,1.15613214438781,12.6003596203197,0.727632774391851,0.0867586529019262,6.97245683501662,2.32502157987296,2,5,3
"7",2,10,0.218584488005132,15.462225088151,0.784697381821917,0.30306540785856,7.01946505952583,2.3551596370326,2,5,3
"8",3,8,1.66123414428793,11.7047088361509,0.802188037372289,0.285607432729093,10.0333074844483,1.78611553025369,2,5,3
"9",4,4,1.38626707253425,8.26840212536346,0.566107131681415,0.936603653650067,8.71426835318416,0.846678742873917,2,5,3
"10",5,7,1.13830027498101,8.21128779210847,0.805593411466963,0.19659818564793,8.15987967638087,1.52156775627238,2,5,3
"11",1,4,0,16.7560113059515,0.641484247739901,0,7.59490101565919,1.89387292816195,3,6,3
"12",2,7,0,13.9512634085091,0.624631118311343,0,9.87898151170563,1.83420620793255,3,6,3
"13",3,11,0,10.6429013154474,0.663515151887228,0,5.47117043685001,2.13798214627704,3,6,3
"14",4,5,2.12557947011392,7.96236059433145,0.62266066814595,0.775262494153799,10.0879400644454,1.88853790808263,3,6,3
"15",5,6,0.169850233817163,7.93185491796099,0.651711573132452,0,7.98539903791332,0.805779507143235,3,6,3
"16",1,5,0,14.9288687557013,0.477860375827973,0,8.98636900750407,1.3699936166038,4,7,3
"17",2,5,0,16.5574421541503,0.53467359030728,0,9.46694685601756,1.370788213608,4,7,3
"18",3,8,0,10.0667872620232,0.524066586778238,0,3.46866633601015,2.05919519733014,4,7,3
"19",4,5,0.902188713603465,7.96236059433145,0.492633807841138,0.775262494153798,8.86454930793492,1.52407738904584,4,7,3
"20",5,4,0,8.75319926647822,0.317811845654305,0,7.92629163728384,0.73896921518162,4,7,3
"21",1,3,0,20.7373600639455,0.407075754071985,0,8.98636900750407,1.28135303015571,5,8,3
"22",2,5,0,16.5574421541503,0.460485281533278,0,9.46694685601756,1.199439686907,5,8,3
