"","replication","arrivals","mean_wait_time_doctor","scenario","interarrival_time"
"1",1,7,0.707330705134176,1,4
"2",2,9,0.601190674172213,1,4
"3",3,7,0,1,4
"4",4,11,1.7275868992183,1,4
"5",5,13,9.95260900995537,1,4
"6",6,15,6.83770092506945,1,4
"7",7,11,0.682529853733251,1,4
"8",8,12,12.5421134389077,1,4
"9",9,9,1.17512607692345,1,4
"10",10,7,3.18602562527786,1,4
"11",11,7,0,1,4
"12",12,6,0.537676664033459,1,4
"13",13,7,4.23310763766265,1,4
"14",14,10,0.638020447179123,1,4
"15",15,7,2.96535489767117,1,4
"16",16,15,25.3356586693805,1,4
"17",17,10,4.99028753916432,1,4
"18",18,18,6.6943941550063,1,4
"19",19,16,2.91330309695148,1,4
"20",20,11,6.73377046263527,1,4
"21",21,17,1.71397007648409,1,4
"22",22,11,6.48423929278689,1,4
"23",23,11,2.79388844710364,1,4
"24",24,11,1.12728365917604,1,4
"25",25,12,0.734403301728463,1,4
"26",26,13,1.39846350635714,1,4
"27",27,11,8.21157374959974,1,4
"28",28,11,4.44272900627324,1,4
"29",29,8,0.353405033798055,1,4
"30",30,9,2.70015737700323,1,4
"31",31,9,6.46316169918435,1,4
"32",32,8,0.168136705967558,1,4
"33",33,10,0.170958631307943,1,4
"34",34,7,0.835860016234888,1,4
"35",35,14,0.918092316608313,1,4
"36",36,7,0,1,4
"37",37,11,4.41825901263761,1,4
"38",38,10,2.535325904718,1,4
"39",39,8,0,1,4
"40",40,12,4.16890900779688,1,4
"41",41,11,0.0117283723149949,1,4
"42",42,5,1.75015960727879,1,4
"43",43,11,7.15221035697671,1,4
"44",44,14,0.170552587205992,1,4
"45",45,12,0,1,4
"46",46,9,3.75110014421563,1,4
"47",47,10,5.54109932900414,1,4
"48",48,9,10.9724758623218,1,4
"49",49,7,0.0510308461860538,1,4
"50",50,9,0.0769930559707627,1,4
"51",51,8,1.62741378358136,1,4
"52",52,13,0.212324281621378,1,4
"53",53,11,1.37531734599052,1,4
"54",54,5,1.39827910743739,1,4
"55",55,16,1.11717097509548,1,4
"56",56,10,0.00844902507120651,1,4
"57",57,9,16.27477113203,1,4
"58",58,7,9.6331617138601,1,4
"59",59,13,0.42840228163472,1,4
"60",60,6,4.35457817475993,1,4
"61",61,5,3.26115053154766,1,4
"62",62,12,7.50822279485819,1,4
"63",63,13,0.486625798971079,1,4
"64",64,15,11.4951398992283,1,4
"65",65,6,2.75403734202594,1,4
"66",66,10,4.4904510583974,1,4
"67",67,9,12.3268323271428,1,4
"68",68,7,1.24317630986901,1,4
"69",69,13,7.33018006964534,1,4
"70",70,11,0.238200846712167,1,4
"71",71,16,20.5994327681721,1,4
"72",72,8,20.3827668518606,1,4
"73",73,9,0,1,4
"74",74,12,2.82520292420725,1,4
"75",75,8,0,1,4
"76",76,15,7.61980167570623,1,4
"77",77,9,0,1,4
"78",78,11,4.0376430436678,1,4
"79",79,10,1.38748996306565,1,4
"80",80,7,0,1,4
"81",81,9,2.04360271159516,1,4
"82",82,8,0,1,4
"83",83,11,0.294086588539573,1,4
"84",84,7,0,1,4
"85",85,8,1.81110548455446,1,4
"86",86,6,0,1,4
"87",87,13,1.77879604703773,1,4
"88",88,6,0,1,4
"89",89,7,0,1,4
"90",90,11,2.32625776850597,1,4
"91",91,8,0.412499206078905,1,4
"92",92,13,3.61772164908047,1,4
"93",93,7,1.61266845399486,1,4
"94",94,8,0.109058786299912,1,4
"95",95,9,5.51199649892696,1,4
"96",96,12,2.63593399122553,1,4
"97",97,5,0.0619846194646456,1,4
"98",98,6,0,1,4
"99",99,4,6.43518782638076,1,4
"100",100,15,0.603160559134851,1,4
"101",1,7,0.40821926469593,2,4.5
"102",2,5,0.00819736787837684,2,4.5
"103",3,7,0,2,4.5
"104",4,11,0.844287100401136,2,4.5
"105",5,8,3.88546192127325,2,4.5
"106",6,13,5.55944230830608,2,4.5
"107",7,9,0.339052575660669,2,4.5
"108",8,8,7.47065388238486,2,4.5
"109",9,10,1.32586383648822,2,4.5
"110",10,6,0.501321426701474,2,4.5
"111",11,6,0,2,4.5
"112",12,5,0.410885058204067,2,4.5
"113",13,9,1.62479471303864,2,4.5
"114",14,8,0.38802249094535,2,4.5
"115",15,6,2.78540851063639,2,4.5
"116",16,13,18.9419437573829,2,4.5
"117",17,11,1.36135826139482,2,4.5
"118",18,13,5.18026866209154,2,4.5
"119",19,17,2.410306689713,2,4.5
"120",20,12,8.10540186517781,2,4.5
"121",21,14,4.01293039270816,2,4.5
"122",22,13,4.98869676554736,2,4.5
"123",23,13,5.04335327236579,2,4.5
"124",24,9,0.319320896325119,2,4.5
"125",25,12,7.02903683323398,2,4.5
"126",26,14,1.50939586577755,2,4.5
"127",27,7,13.7915183439536,2,4.5
"128",28,7,0.758622404157989,2,4.5
"129",29,9,0.208802586610453,2,4.5
"130",30,10,5.31842330802492,2,4.5
"131",31,10,3.19765173537258,2,4.5
"132",32,8,0.101420876972822,2,4.5
"133",33,13,4.41279859864328,2,4.5
"134",34,5,2.46677533628642,2,4.5
"135",35,13,0.0734524278478255,2,4.5
"136",36,5,0,2,4.5
"137",37,9,1.90502718720287,2,4.5
"138",38,12,0.525845351165829,2,4.5
"139",39,7,0,2,4.5
"140",40,12,4.69288813719271,2,4.5
"141",41,10,0,2,4.5
"142",42,7,1.99695430130767,2,4.5
"143",43,10,5.76519065050137,2,4.5
"144",44,11,0.264311469884033,2,4.5
"145",45,11,0,2,4.5
"146",46,9,0.89878192753813,2,4.5
"147",47,12,2.51681355647979,2,4.5
"148",48,9,9.57025618278997,2,4.5
"149",49,7,10.2761625861739,2,4.5
"150",50,8,0,2,4.5
"151",51,14,25.4910015525656,2,4.5
"152",52,13,0.127376665134112,2,4.5
"153",53,15,0.916314338313417,2,4.5
"154",54,4,0.308257464578992,2,4.5
"155",55,13,5.83491628690594,2,4.5
"156",56,8,0.205935369016995,2,4.5
"157",57,9,14.3747854471492,2,4.5
"158",58,8,9.41628150409108,2,4.5
"159",59,9,0,2,4.5
"160",60,7,8.39349747149963,2,4.5
"161",61,6,3.02175931545052,2,4.5
"162",62,12,4.13383730839412,2,4.5
"163",63,10,0.169033466128775,2,4.5
"164",64,13,4.2610788690893,2,4.5
"165",65,5,3.55283833098196,2,4.5
"166",66,8,1.26506477529167,2,4.5
"167",67,8,12.4177153919568,2,4.5
"168",68,7,1.55567563615173,2,4.5
"169",69,9,1.25523875933276,2,4.5
"170",70,13,3.14331773297225,2,4.5
"171",71,6,0.69257608827354,2,4.5
"172",72,10,0.582064583003755,2,4.5
"173",73,6,0,2,4.5
"174",74,11,0.442556319625341,2,4.5
"175",75,6,0,2,4.5
"176",76,11,1.70349968997697,2,4.5
"177",77,7,0,2,4.5
"178",78,11,2.21985802224504,2,4.5
"179",79,9,0,2,4.5
"180",80,7,0,2,4.5
"181",81,12,4.76114849678622,2,4.5
"182",82,8,0,2,4.5
"183",83,9,0.223935742291489,2,4.5
"184",84,6,0,2,4.5
"185",85,7,0.00109151243746096,2,4.5
"186",86,6,0,2,4.5
"187",87,8,3.8864780067094,2,4.5
"188",88,4,0,2,4.5
"189",89,7,0,2,4.5
"190",90,8,1.08136569374561,2,4.5
"191",91,8,0.130663198956486,2,4.5
"192",92,11,1.84012887234652,2,4.5
"193",93,5,1.83405839064418,2,4.5
"194",94,8,0,2,4.5
"195",95,6,0.22691949467598,2,4.5
"196",96,8,1.1311528591011,2,4.5
"197",97,4,0,2,4.5
"198",98,7,1.14687544364972,2,4.5
"199",99,8,0.834313923625685,2,4.5
"200",100,13,0.0738823050552743,2,4.5
"201",1,6,0.386980251188141,3,5
"202",2,5,0,3,5
"203",3,6,0,3,5
"204",4,11,0.349832972590169,3,5
"205",5,8,1.58779590985865,3,5
"206",6,8,0.492260229001031,3,5
"207",7,6,0.173323443242298,3,5
"208",8,9,8.46508355767153,3,5
"209",9,8,1.14254158731185,3,5
"210",10,8,0.611865197464876,3,5
"211",11,3,0,3,5
"212",12,4,0.361556833324595,3,5
"213",13,9,0.751755801117495,3,5
"214",14,7,0,3,5
"215",15,11,2.30950306444693,3,5
"216",16,10,13.1326776737562,3,5
"217",17,11,1.12016576429689,3,5
"218",18,5,1.20567027383404,3,5
"219",19,14,2.55679430559518,3,5
"220",20,6,0.267433018767694,3,5
"221",21,10,0.900603401982027,3,5
"222",22,12,3.30436475637306,3,5
"223",23,13,2.09035545354696,3,5
"224",24,8,0.200706419127528,3,5
"225",25,8,0,3,5
"226",26,12,0.807367196173419,3,5
"227",27,9,11.5408564884334,3,5
"228",28,7,2.81807259952247,3,5
"229",29,9,0.115488496157762,3,5
"230",30,7,0,3,5
"231",31,9,2.27267523005831,3,5
"232",32,10,0.0305382107963801,3,5
"233",33,10,0.930615464197981,3,5
"234",34,7,4.25534892213691,3,5
"235",35,12,0,3,5
"236",36,5,0,3,5
"237",37,8,0.155057854452815,3,5
"238",38,11,0,3,5
"239",39,6,0,3,5
"240",40,11,4.34862364216095,3,5
"241",41,9,0,3,5
"242",42,7,1.66654202579667,3,5
"243",43,10,3.63224808114987,3,5
"244",44,11,0.171437448015037,3,5
"245",45,9,0,3,5
"246",46,8,1.31972686987842,3,5
"247",47,11,2.05292448612024,3,5
"248",48,6,4.90241745380466,3,5
"249",49,6,3.73490122549275,3,5
"250",50,5,0,3,5
"251",51,6,0.800683976130281,3,5
"252",52,12,0.109302026284067,3,5
"253",53,12,0.432029447378217,3,5
"254",54,6,0,3,5
"255",55,12,4.87808996777559,3,5
"256",56,7,0,3,5
"257",57,7,1.55619960570558,3,5
"258",58,7,0.735751997073292,3,5
"259",59,8,0,3,5
"260",60,12,9.61385654819907,3,5
"261",61,7,1.99243298873969,3,5
"262",62,9,2.08955671197968,3,5
"263",63,9,0,3,5
"264",64,11,3.98843235972495,3,5
"265",65,8,3.67191344918463,3,5
"266",66,8,0,3,5
