scenario,interarrival_time,number_of_doctors,mean,std_dev,ci_lower,ci_upper,metric
0,4,3,15.031006697114995,3.7524595451995433,12.952963865515438,17.10904952871455,mean_wait_time
1,4,4,2.229406611283361,0.33882377570509425,2.041772258454641,2.4170409641120805,mean_wait_time
2,4,5,0.5360413110935996,0.06987413585928108,0.49734630442194977,0.5747363177652496,mean_wait_time
3,5,3,4.736389203185383,0.7363257678510668,4.328625584371051,5.1441528219997155,mean_wait_time
4,5,4,0.9149717664768862,0.142374360744183,0.8361274735046921,0.9938160594490802,mean_wait_time
5,5,5,0.21160122198842093,0.04574911469722692,0.186266206726173,0.23693623725066887,mean_wait_time
6,6,3,2.3029624727985856,0.41496138706092817,2.073164516182183,2.532760429414988,mean_wait_time
7,6,4,0.4452250463709068,0.09967527373528468,0.39002671962590324,0.5004233731159103,mean_wait_time
8,6,5,0.09488871595323953,0.029750055453683366,0.07841368438246518,0.11136374752401387,mean_wait_time
9,7,3,1.3917477313633688,0.31762539433693143,1.2158526508473857,1.567642811879352,mean_wait_time
10,7,4,0.269981827039155,0.08641350804183223,0.22212762134374062,0.3178360327345694,mean_wait_time
11,7,5,0.05402364811142697,0.020960828698151968,0.042415928082492,0.06563136814036194,mean_wait_time
12,8,3,0.9325559815303872,0.22580338710389772,0.8075102337294733,1.0576017293313011,mean_wait_time
13,8,4,0.17488741894577206,0.05947061467878618,0.14195369027115706,0.20782114762038706,mean_wait_time
14,8,5,0.030588033973289828,0.013261458511353394,0.02324408303547701,0.03793198491110265,mean_wait_time
