scenario,interarrival_time,number_of_doctors,mean,std_dev,ci_lower,ci_upper,metric
0,4,3,3.779968013746181,0.9837679667552885,3.2351754725745243,4.324760554917837,mean_queue_length
1,4,4,0.5594479496859004,0.08857279262720984,0.5103979720441189,0.6084979273276819,mean_queue_length
2,4,5,0.13458313987295104,0.017891366210992844,0.12467523151192988,0.14449104823397219,mean_queue_length
3,5,3,0.9456236231753069,0.1532305925229067,0.8607673494331082,1.0304798969175055,mean_queue_length
4,5,4,0.1824739862088553,0.02851915883869993,0.16668060246303318,0.19826736995467742,mean_queue_length
5,5,5,0.04217946552980791,0.009088951680106575,0.037146171857191955,0.04721275920242387,mean_queue_length
6,6,3,0.3841280589889082,0.07054630881610958,0.3450608153410278,0.4231953026367887,mean_queue_length
7,6,4,0.07429122715714141,0.016651870617890228,0.0650697285764312,0.08351272573785162,mean_queue_length
8,6,5,0.01581535405289895,0.004955702936587126,0.01307097724113931,0.018559730864658588,mean_queue_length
9,7,3,0.1984734789920952,0.043595468334707094,0.1743311133324686,0.2226158446517218,mean_queue_length
10,7,4,0.03846787357368421,0.011939439595965785,0.03185603230881236,0.045079714838556065,mean_queue_length
11,7,5,0.007691367683216406,0.0029142485064796385,0.006077510652795657,0.009305224713637155,mean_queue_length
12,8,3,0.11671002835964098,0.027618101191448027,0.10141563370675262,0.13200442301252932,mean_queue_length
13,8,4,0.02186069554173814,0.007268879187617306,0.01783532441977229,0.02588606666370399,mean_queue_length
14,8,5,0.0038185427643242066,0.0016224040368190995,0.002920085355773828,0.004717000172874585,mean_queue_length
