scenario,interarrival_time,number_of_doctors,mean,std_dev,ci_lower,ci_upper,metric
0,4,3,0.8373629983239784,0.014061071313038674,0.8295762365761935,0.8451497600717633,mean_utilisation_tw
1,4,4,0.6281584883391802,0.010614691840588284,0.6222802679284656,0.6340367087498948,mean_utilisation_tw
2,4,5,0.5025733564263225,0.008466970059331235,0.49788450469448436,0.5072622081581606,mean_utilisation_tw
3,5,3,0.6652227596520919,0.012883924812733923,0.6580878799078932,0.6723576393962906,mean_utilisation_tw
4,5,4,0.4988539251480738,0.009603260334439706,0.4935358168360212,0.5041720334601264,mean_utilisation_tw
5,5,5,0.39905082087325555,0.0076475427417496125,0.39481575286454795,0.40328588888196315,mean_utilisation_tw
6,6,3,0.5548735242750182,0.014151603598366907,0.5470366274187028,0.5627104211313336,mean_utilisation_tw
7,6,4,0.41620308193415745,0.010657611091783134,0.41030109363435335,0.42210507023396154,mean_utilisation_tw
8,6,5,0.33298999235014326,0.008536571605435398,0.3282625965668083,0.33771738813347824,mean_utilisation_tw
9,7,3,0.47554730409513996,0.012248221359099361,0.46876446518947296,0.48233014300080695,mean_utilisation_tw
10,7,4,0.3566655423727296,0.009197945625490414,0.3515718898650178,0.36175919488044145,mean_utilisation_tw
11,7,5,0.2853324338981837,0.007358356500392334,0.2812575118920142,0.2894073559043532,mean_utilisation_tw
12,8,3,0.4165606167986492,0.010392189968742149,0.41080561381752656,0.42231561977977183,mean_utilisation_tw
13,8,4,0.3124329302399618,0.00779042246420686,0.30811873807829354,0.3167471224016301,mean_utilisation_tw
14,8,5,0.24994755162252597,0.006232070928396999,0.24649634577665808,0.25339875746839385,mean_utilisation_tw
