"scenario","interarrival_time","number_of_doctors","mean","std_dev","ci_lower","ci_upper","metric"
1,4,3,1.23917135366273,1.05466378427406,-0.0703666974797012,2.54870940480517,"mean_queue_length_doctor"
2,5,3,0.361726666557515,0.332638563256198,-0.0512986618519307,0.774751994966961,"mean_queue_length_doctor"
3,6,3,0.15505249883076,0.346707927466786,-0.27544225259659,0.585547250258109,"mean_queue_length_doctor"
4,7,3,0.15505249883076,0.346707927466785,-0.275442252596589,0.585547250258109,"mean_queue_length_doctor"
5,8,3,0,0,NA,NA,"mean_queue_length_doctor"
6,4,4,0,0,NA,NA,"mean_queue_length_doctor"
7,5,4,0,0,NA,NA,"mean_queue_length_doctor"
8,6,4,0,0,NA,NA,"mean_queue_length_doctor"
9,7,4,0,0,NA,NA,"mean_queue_length_doctor"
10,8,4,0,0,NA,NA,"mean_queue_length_doctor"
11,4,5,0,0,NA,NA,"mean_queue_length_doctor"
12,5,5,0,0,NA,NA,"mean_queue_length_doctor"
13,6,5,0,0,NA,NA,"mean_queue_length_doctor"
14,7,5,0,0,NA,NA,"mean_queue_length_doctor"
15,8,5,0,0,NA,NA,"mean_queue_length_doctor"
