"","scenario","interarrival_time","number_of_doctors","mean","std_dev","ci_lower","ci_upper"
"1",1,4,3,3.45240235901296,4.74750937375998,2.51039350128997,4.39441121673596
"2",2,5,3,1.38502362349355,2.36566412035245,0.915624538557236,1.85442270842986
"3",3,6,3,1.08756462002784,2.54464336440971,0.582652170087477,1.5924770699682
"4",4,7,3,0.452826355887638,1.08104226667244,0.238324116796352,0.667328594978923
"5",5,8,3,0.432676726753086,1.2852083404187,0.177663509215184,0.687689944290989
"6",6,4,4,1.12126149318741,2.33589422913875,0.657769400530407,1.58475358584441
"7",7,5,4,0.413165818259694,1.19569274333727,0.175914437237826,0.650417199281562
"8",8,6,4,0.209839562928558,0.678856839132547,0.0751396381378402,0.344539487719275
"9",9,7,4,0.104719730861726,0.389148477948497,0.0275042301987798,0.181935231524672
"10",10,8,4,0.0514908866380097,0.264293630647221,-0.000950703574643833,0.103932476850663
"11",11,4,5,0.1575012257856,0.366758304939812,0.0847284212059329,0.230274030365268
"12",12,5,5,0.174636144445092,0.974681232628933,-0.0187617579724555,0.368034046862639
"13",13,6,5,0.0320153748717492,0.176383299476791,-0.00298289840811,0.0670136481516085
"14",14,7,5,0.01831008267803,0.115991449168933,-0.00470513728997702,0.0413253026460371
"15",15,8,5,0.010823223305072,0.0792625588913032,-0.00490418799275204,0.0265506346028961
