"scenario","interarrival_time","number_of_doctors","mean","std_dev","ci_lower","ci_upper","metric"
1,4,3,0.848827503737058,0.215780372381709,0.580900783831688,1.11675422364243,"utilisation_doctor"
2,5,3,0.749774916329704,0.107084449203106,0.616812010986727,0.882737821672681,"utilisation_doctor"
3,6,3,0.598553569965843,0.0907685892495733,0.485849480526902,0.711257659404783,"utilisation_doctor"
4,7,3,0.46889496908991,0.0850965603113317,0.363233633780355,0.574556304399466,"utilisation_doctor"
5,8,3,0.392733034487267,0.0668498376485423,0.309727997793306,0.475738071181229,"utilisation_doctor"
6,4,4,0.559778185111378,0.220963386482988,0.285415903194268,0.834140467028488,"utilisation_doctor"
7,5,4,0.479046989728553,0.18554390131989,0.248663807373373,0.709430172083732,"utilisation_doctor"
8,6,4,0.403106690584909,0.101419875377096,0.277177282626856,0.529036098542962,"utilisation_doctor"
9,7,4,0.343856494086738,0.0843777347426819,0.239087698606763,0.448625289566713,"utilisation_doctor"
10,8,4,0.288203013453988,0.0627294874717065,0.210314067234596,0.36609195967338,"utilisation_doctor"
11,4,5,0.474737510715573,0.213992467100998,0.209030768429461,0.740444253001685,"utilisation_doctor"
12,5,5,0.384039348853799,0.149772808127371,0.198071845092162,0.570006852615437,"utilisation_doctor"
13,6,5,0.322485352467928,0.0811359003016773,0.221741826101485,0.42322887883437,"utilisation_doctor"
14,7,5,0.27508519526939,0.0675021877941457,0.19127015888541,0.35890023165337,"utilisation_doctor"
15,8,5,0.230562410763191,0.0501835899773649,0.168251253787678,0.292873567738704,"utilisation_doctor"
