scenario,interarrival_time,number_of_doctors,mean,std_dev,ci_lower,ci_upper,metric
0,4,3,4.85916630025862,3.18294609944992,0.907016720348556,8.811315880168683,mean_patients_in_system
1,4,4,4.077251640043243,2.597156294023534,0.852456172045911,7.302047108040575,mean_patients_in_system
2,4,5,3.687066782754907,2.0455534676890834,1.1471766855245056,6.226956879985308,mean_patients_in_system
3,5,3,3.3492346438019935,2.2862909049990146,0.5104295376440149,6.188039749959972,mean_patients_in_system
4,5,4,2.923448380538627,1.9557821828895496,0.49502405571630304,5.35187270536095,mean_patients_in_system
5,5,5,2.813891400386683,1.7906419268135232,0.5905157861881118,5.037267014585254,mean_patients_in_system
6,6,3,2.6678235002222697,1.5729375813352897,0.7147635340565355,4.620883466388004,mean_patients_in_system
7,6,4,2.4143250992529275,1.352840401927087,0.7345518768645536,4.094098321641301,mean_patients_in_system
8,6,5,2.35876465367196,1.2873665521823698,0.7602879533354039,3.957241354008516,mean_patients_in_system
9,7,3,2.1873524727756872,1.1410280013058747,0.7705790826117853,3.604125862939589,mean_patients_in_system
10,7,4,2.0719012805919315,1.0179671444453147,0.8079281259798934,3.3358744352039693,mean_patients_in_system
11,7,5,2.0511265633273466,0.9942008006338163,0.8166632221949788,3.285589904459714,mean_patients_in_system
12,8,3,1.6672893427505808,0.7821507049868084,0.6961209711987676,2.638457714302394,mean_patients_in_system
13,8,4,1.6510501688952215,0.76457756478943,0.7017017328618805,2.6003986049285626,mean_patients_in_system
14,8,5,1.6510501688952215,0.76457756478943,0.7017017328618805,2.6003986049285626,mean_patients_in_system
