scenario,interarrival_time,number_of_doctors,mean,std_dev,ci_lower,ci_upper,metric
0,4,3,2.282464866558232,2.8873314231037424,-1.3026306123921314,5.867560345508595,mean_queue_length
1,4,4,1.1097318320073017,1.9535470974076883,-1.3159172676392914,3.535380931653895,mean_queue_length
2,4,5,0.5213509146700799,1.0360671913009343,-0.7650964164883847,1.8077982458285444,mean_queue_length
3,5,3,1.1650943593485281,1.7577071663684805,-1.0173873485159723,3.3475760672130286,mean_queue_length
4,5,4,0.5413844275221968,1.1160339914943753,-0.8443548004880175,1.9271236555324112,mean_queue_length
5,5,5,0.2820443207617665,0.6306702738910651,-0.5010362530660779,1.0651248945896108,mean_queue_length
6,6,3,0.6622472944073305,0.9683635787740693,-0.5401348985281882,1.8646294873428493,mean_queue_length
7,6,4,0.27837536887873654,0.5670352204788746,-0.4256918501034171,0.9824425878608902,mean_queue_length
8,6,5,0.13251703348173421,0.29631709504177334,-0.23540923548395953,0.500443302447428,mean_queue_length
9,7,3,0.34511051247742225,0.5142664784669511,-0.29343565931802335,0.9836566842728678,mean_queue_length
10,7,4,0.11563639266878852,0.24324737602325713,-0.18639511679682397,0.41766790213440097,mean_queue_length
11,7,5,0.046407885898241616,0.10377118756052216,-0.0824410617465093,0.17525683354299254,mean_queue_length
12,8,3,0.06172115012483844,0.11425351337849031,-0.08014332410552535,0.20358562435520225,mean_queue_length
13,8,4,0.0038485910389422,0.008605711180671298,-0.006836810713036979,0.01453399279092138,mean_queue_length
14,8,5,0.00103860065059186,0.0023223816561989065,-0.001845017041999159,0.00392221834318288,mean_queue_length
