scenario,interarrival_time,number_of_doctors,mean,std_dev,ci_lower,ci_upper,metric
0,4,3,13.262889237569237,7.809683711982843,3.565886135041806,22.959892340096665,mean_time_in_system
1,4,4,10.575369844380475,6.247718291827938,2.817802970498607,18.332936718262342,mean_time_in_system
2,4,5,8.730675857404929,4.182349267541185,3.5376033439851566,13.9237483708247,mean_time_in_system
3,5,3,11.23532646310502,5.451946192617937,4.465841155587243,18.004811770622798,mean_time_in_system
4,5,4,9.01582567934349,4.398222201919676,3.554711515119341,14.476939843567639,mean_time_in_system
5,5,5,8.614731276273536,4.03833544514373,3.6004755413683958,13.628987011178676,mean_time_in_system
6,6,3,9.451101268771557,4.692782792453591,3.624241823991806,15.277960713551309,mean_time_in_system
7,6,4,8.326716249263633,3.9516393065569413,3.4201079884249914,13.233324510102275,mean_time_in_system
8,6,5,8.110967542266511,3.912119319390652,3.2534298267017263,12.968505257831296,mean_time_in_system
9,7,3,9.864700764356396,3.7955234836199336,5.15193590040859,14.577465628304202,mean_time_in_system
10,7,4,9.156236964518444,3.3242613444646794,5.0286213324762095,13.283852596560678,mean_time_in_system
11,7,5,9.044029062870168,3.3190018002957715,4.92294401746943,13.165114108270906,mean_time_in_system
12,8,3,11.037798145446914,8.835548401835315,0.06701579050119832,22.00858050039263,mean_time_in_system
13,8,4,10.907884754604039,8.924232487987485,-0.17301343733042707,21.988782946538507,mean_time_in_system
14,8,5,10.907884754604039,8.924232487987485,-0.17301343733042707,21.988782946538507,mean_time_in_system
