scenario,interarrival_time,number_of_doctors,mean,std_dev,ci_lower,ci_upper,metric
0,4,3,0.8589004779001291,0.1742654826468947,0.6425213019678772,1.075279653832381,mean_utilisation_tw
1,4,4,0.7418799520089852,0.21601137002819626,0.47366641064230225,1.010093493375668,mean_utilisation_tw
2,4,5,0.6331431736169653,0.22336252337125148,0.35580196979893547,0.9104843774349951,mean_utilisation_tw
3,5,3,0.7280467614844883,0.23282211721993223,0.43895992054692184,1.0171336024220548,mean_utilisation_tw
4,5,4,0.5955159882541076,0.24087867024110227,0.2964256154805345,0.8946063610276807,mean_utilisation_tw
5,5,5,0.5063694159249834,0.24380861669443174,0.20364103412364631,0.8090977977263205,mean_utilisation_tw
6,6,3,0.668525401938313,0.2513879951918314,0.356385978727995,0.980664825148631,mean_utilisation_tw
7,6,4,0.5339874325935478,0.22392032420775007,0.2559536275586697,0.8120212376284258,mean_utilisation_tw
8,6,5,0.44524952403804513,0.20870451174404595,0.18610864554276862,0.7043904025333216,mean_utilisation_tw
9,7,3,0.614080653432755,0.2578948983214237,0.2938618428666228,0.9342994639988871,mean_utilisation_tw
10,7,4,0.4890662219807858,0.21556418292237517,0.2214079367438619,0.7567245072177098,mean_utilisation_tw
11,7,5,0.4009437354858211,0.18518738542439148,0.1710032260828697,0.6308842448887725,mean_utilisation_tw
12,8,3,0.5351893975419142,0.24391500845189512,0.23232891292562918,0.8380498821581992,mean_utilisation_tw
13,8,4,0.4118003944640698,0.19015186194845052,0.17569567329126654,0.647905115636873,mean_utilisation_tw
14,8,5,0.3300023136489259,0.15269972924040467,0.14040055731565282,0.519604069982199,mean_utilisation_tw
