"scenario","interarrival_time","number_of_doctors","mean","std_dev","ci_lower","ci_upper","metric"
1,4,3,1.39389978895185,1.14245776143835,-0.0246488828946083,2.81244846079831,"mean_queue_length_doctor"
2,5,3,0.491578821406494,0.316822983728079,0.0981911287078421,0.884966514105146,"mean_queue_length_doctor"
3,6,3,0.0583132880198548,0.130392476003919,-0.10359035507086,0.22021693111057,"mean_queue_length_doctor"
4,7,3,0.079241176081556,0.17718865633539,-0.140767599380197,0.299249951543309,"mean_queue_length_doctor"
5,8,3,0,0,NA,NA,"mean_queue_length_doctor"
6,4,4,0,0,NA,NA,"mean_queue_length_doctor"
7,5,4,0,0,NA,NA,"mean_queue_length_doctor"
8,6,4,0,0,NA,NA,"mean_queue_length_doctor"
9,7,4,0,0,NA,NA,"mean_queue_length_doctor"
10,8,4,0,0,NA,NA,"mean_queue_length_doctor"
11,4,5,0.00806703623512984,0.0180384413987043,-0.0143306470333496,0.0304647195036093,"mean_queue_length_doctor"
12,5,5,0,0,NA,NA,"mean_queue_length_doctor"
13,6,5,0,0,NA,NA,"mean_queue_length_doctor"
14,7,5,0,0,NA,NA,"mean_queue_length_doctor"
15,8,5,0,0,NA,NA,"mean_queue_length_doctor"
