"scenario","interarrival_time","number_of_doctors","mean","std_dev","ci_lower","ci_upper","metric"
1,4,3,11.5099646490163,4.87413412243446,5.45792778677293,17.5620015112597,"mean_time_in_system"
2,5,3,8.17987548171116,1.27726249244078,6.59394462859142,9.76580633483089,"mean_time_in_system"
3,6,3,8.20367841331471,1.88692462014683,5.86075204515408,10.5466047814753,"mean_time_in_system"
4,7,3,7.74256462895011,2.45353598144592,4.69609733249117,10.789031925409,"mean_time_in_system"
5,8,3,7.00267826176043,2.53303668955025,3.85749779821665,10.1478587253042,"mean_time_in_system"
6,4,4,7.02879535539065,2.37492014396136,4.07994251402493,9.97764819675637,"mean_time_in_system"
7,5,4,7.11076558119338,1.55358369441706,5.18173663963932,9.03979452274744,"mean_time_in_system"
8,6,4,7.56072513717346,1.60236545830546,5.5711256356303,9.55032463871662,"mean_time_in_system"
9,7,4,6.92535148500128,2.44873949982493,3.88483980708917,9.96586316291339,"mean_time_in_system"
10,8,4,6.90491913987854,2.49766491323184,3.80365853754184,10.0061797422152,"mean_time_in_system"
11,4,5,7.07815870367483,2.48581335599409,3.99161375328289,10.1647036540668,"mean_time_in_system"
12,5,5,7.11076558119338,1.55358369441706,5.18173663963932,9.03979452274744,"mean_time_in_system"
13,6,5,7.56072513717346,1.60236545830546,5.5711256356303,9.55032463871662,"mean_time_in_system"
14,7,5,6.92535148500128,2.44873949982493,3.88483980708917,9.96586316291339,"mean_time_in_system"
15,8,5,6.90491913987854,2.49766491323184,3.80365853754184,10.0061797422152,"mean_time_in_system"
