"scenario","interarrival_time","number_of_doctors","mean","std_dev","ci_lower","ci_upper","metric"
1,4,3,4.7179260445824,4.79348269062013,-1.23396883837352,10.6698209275383,"mean_wait_time_doctor"
2,5,3,1.11210362483923,0.54261200372436,0.438361834821481,1.78584541485697,"mean_wait_time_doctor"
3,6,3,0.459085940786217,0.934496880754517,-0.701245192480383,1.61941707405282,"mean_wait_time_doctor"
4,7,3,0.180437742720693,0.403471058430087,-0.320537744849114,0.6814132302905,"mean_wait_time_doctor"
5,8,3,0,0,NA,NA,"mean_wait_time_doctor"
6,4,4,0.123049186038537,0.169103650133234,-0.0869207282967452,0.333019100373819,"mean_wait_time_doctor"
7,5,4,0.0200439267739294,0.0448195828025342,-0.0356069356064899,0.0756947891543487,"mean_wait_time_doctor"
8,6,4,0,0,NA,NA,"mean_wait_time_doctor"
9,7,4,0,0,NA,NA,"mean_wait_time_doctor"
10,8,4,0,0,NA,NA,"mean_wait_time_doctor"
11,4,5,0.0545713507999542,0.078645085977053,-0.0430794210933923,0.152222122693301,"mean_wait_time_doctor"
12,5,5,0,0,NA,NA,"mean_wait_time_doctor"
13,6,5,0,0,NA,NA,"mean_wait_time_doctor"
14,7,5,0,0,NA,NA,"mean_wait_time_doctor"
15,8,5,0,0,NA,NA,"mean_wait_time_doctor"
