"","replication","arrivals","mean_wait_time_doctor","scenario","interarrival_time","number_of_doctors"
"1",1,7,0.707330705134176,1,4,3
"2",2,9,0.601190674172213,1,4,3
"3",3,7,0,1,4,3
"4",4,11,1.7275868992183,1,4,3
"5",5,13,9.95260900995537,1,4,3
"6",6,15,6.83770092506945,1,4,3
"7",7,11,0.682529853733251,1,4,3
"8",8,12,12.5421134389077,1,4,3
"9",9,9,1.17512607692345,1,4,3
"10",10,7,3.18602562527786,1,4,3
"11",11,7,0,1,4,3
"12",12,6,0.537676664033459,1,4,3
"13",13,7,4.23310763766265,1,4,3
"14",14,10,0.638020447179123,1,4,3
"15",15,7,2.96535489767117,1,4,3
"16",16,15,25.3356586693805,1,4,3
"17",17,10,4.99028753916432,1,4,3
"18",18,18,6.6943941550063,1,4,3
"19",19,16,2.91330309695148,1,4,3
"20",20,11,6.73377046263527,1,4,3
"21",21,17,1.71397007648409,1,4,3
"22",22,11,6.48423929278689,1,4,3
"23",23,11,2.79388844710364,1,4,3
"24",24,11,1.12728365917604,1,4,3
"25",25,12,0.734403301728463,1,4,3
"26",26,13,1.39846350635714,1,4,3
"27",27,11,8.21157374959974,1,4,3
"28",28,11,4.44272900627324,1,4,3
"29",29,8,0.353405033798055,1,4,3
"30",30,9,2.70015737700323,1,4,3
"31",31,9,6.46316169918435,1,4,3
"32",32,8,0.168136705967558,1,4,3
"33",33,10,0.170958631307943,1,4,3
"34",34,7,0.835860016234888,1,4,3
"35",35,14,0.918092316608313,1,4,3
"36",36,7,0,1,4,3
"37",37,11,4.41825901263761,1,4,3
"38",38,10,2.535325904718,1,4,3
"39",39,8,0,1,4,3
"40",40,12,4.16890900779688,1,4,3
"41",41,11,0.0117283723149949,1,4,3
"42",42,5,1.75015960727879,1,4,3
"43",43,11,7.15221035697671,1,4,3
"44",44,14,0.170552587205992,1,4,3
"45",45,12,0,1,4,3
"46",46,9,3.75110014421563,1,4,3
"47",47,10,5.54109932900414,1,4,3
"48",48,9,10.9724758623218,1,4,3
"49",49,7,0.0510308461860538,1,4,3
"50",50,9,0.0769930559707627,1,4,3
"51",51,8,1.62741378358136,1,4,3
"52",52,13,0.212324281621378,1,4,3
"53",53,11,1.37531734599052,1,4,3
"54",54,5,1.39827910743739,1,4,3
"55",55,16,1.11717097509548,1,4,3
"56",56,10,0.00844902507120651,1,4,3
"57",57,9,16.27477113203,1,4,3
"58",58,7,9.6331617138601,1,4,3
"59",59,13,0.42840228163472,1,4,3
"60",60,6,4.35457817475993,1,4,3
"61",61,5,3.26115053154766,1,4,3
"62",62,12,7.50822279485819,1,4,3
"63",63,13,0.486625798971079,1,4,3
"64",64,15,11.4951398992283,1,4,3
"65",65,6,2.75403734202594,1,4,3
"66",66,10,4.4904510583974,1,4,3
"67",67,9,12.3268323271428,1,4,3
"68",68,7,1.24317630986901,1,4,3
"69",69,13,7.33018006964534,1,4,3
"70",70,11,0.238200846712167,1,4,3
"71",71,16,20.5994327681721,1,4,3
"72",72,8,20.3827668518606,1,4,3
"73",73,9,0,1,4,3
"74",74,12,2.82520292420725,1,4,3
"75",75,8,0,1,4,3
"76",76,15,7.61980167570623,1,4,3
"77",77,9,0,1,4,3
"78",78,11,4.0376430436678,1,4,3
